t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
6.12,0.9832711839163479,0.9832711839163479,0.9832711839163479,0.9832711839163479,0.9832711839163479,0.8278793222757673,0.5792213477643848,0.33097854980791686,0.08279277499493877,-0.1654649079988017
6.13,0.9931831619951732,0.9931831619951732,0.9931831619951732,0.9931831619951732,0.9931831619951732,0.8757233501467928,0.6126956583690527,0.35010596076648826,0.08757722156970847,-0.17502660230979344
6.140000000000001,0.9143770461619191,0.9143770461619191,0.9143770461619191,0.9143770461619191,0.9143770461619191,0.8450889088242436,0.5912629301618811,0.3378587959751255,0.08451371259489483,-0.16890419295402317
6.15,0.7538923520395792,0.7538923520395792,0.7538923520395792,0.7538923520395792,0.7538923520395792,0.7385799084041088,0.5167404019023314,0.29527394096252035,0.07386108720451132,-0.14761170060789128
6.16,0.5260646993903384,0.5260646993903384,0.5260646993903384,0.5260646993903384,0.5260646993903384,0.5662870471830772,0.3962191628581553,0.22641208135810253,0.056635561308999105,-0.11320059771938125
6.17,0.25124525389741115,0.25124525389741115,0.25124525389741115,0.25124525389741115,0.25124525389741115,0.34391064054287834,0.24053847245799376,0.13743163200957534,0.03438010009905724,-0.06866395444008276
6.18,-0.04601718185468734,-0.04601718185468734,-0.04601718185468734,-0.04601718185468734,-0.04601718185468734,0.09026869582399558,0.06355005904287218,0.03636771051964493,0.00908381774024661,-0.018362997209984078
6.19,-0.3391690398024882,-0.3391690398024882,-0.3391690398024882,-0.3391690398024882,-0.3391690398024882,-0.17047996818147465,-0.11960065809919024,-0.06836199165037458,-0.01708771810582548,0.03430115638228619
6.2,-0.6020239375552833,-0.6020239375552833,-0.6020239375552833,-0.6020239375552833,-0.6020239375552833,-0.4167679029667186,-0.29196210185375043,-0.16687349157899836,-0.04173008490936079,0.08358762210513562
6.21,-0.8111018299448093,-0.8111018299448093,-0.8111018299448093,-0.8111018299448093,-0.8111018299448093,-0.6263307335407772,-0.43805009600988254,-0.2503250452406361,-0.06262230216147452,0.12510052072646619
6.22,-0.9477264115303591,-0.9477264115303591,-0.9477264115303591,-0.9477264115303591,-0.9477264115303591,-0.7796160800347703,-0.5450513176521825,-0.3114149486355065,-0.07791427187926687,0.15551659253648317
6.23,-0.999693415341246,-0.999693415341246,-0.999693415341246,-0.999693415341246,-0.999693415341246,-0.8622731785839985,-0.6036658361589365,-0.34491538673052813,-0.08626601925228441,0.1725359687527202
6.24,-0.9623607836978186,-0.9623607836978186,-0.9623607836978186,-0.9623607836978186,-0.9623607836978186,-0.8692195829588875,-0.6079036279146619,-0.347320024377334,-0.0868766893041945,0.1734843527279734
6.25,-0.8390633293988445,-0.8390633293988445,-0.8390633293988445,-0.8390633293988445,-0.8390633293988445,-0.7977121595869925,-0.5581354750507032,-0.3189345668601854,-0.07976560278507275,0.1594262555683149
6.26,-0.6408148468260579,-0.6408148468260579,-0.6408148468260579,-0.6408148468260579,-0.6408148468260579,-0.6546175807539873,-0.4585722088433103,-0.2624110950128675,-0.06560358609027181,0.13166778252399852
6.2700000000000005,-0.38532428249384776,-0.38532428249384776,-0.38532428249384776,-0.38532428249384776,-0.38532428249384776,-0.4549127583484507,-0.3177844227741477,-0.1813375378216282,-0.04542782668544125,0.09037618656592956
6.28,-0.09541384759902108,-0.09541384759902108,-0.09541384759902108,-0.09541384759902108,-0.09541384759902108,-0.21337382387567735,-0.14886410388264634,-0.0847601983953953,-0.021224667286626107,0.041983499439773565
6.29,0.2030196221354179,0.2030196221354179,0.2030196221354179,0.2030196221354179,0.2030196221354179,0.04812463891465473,0.03328346571890237,0.01875972242488673,0.004721315918809437,-0.009054728135942837
6.3,0.48331795366796265,0.48331795366796265,0.48331795366796265,0.48331795366796265,0.48331795366796265,0.3044027862455464,0.21259276634785518,0.12121505751098127,0.03034584591169089,-0.06026349157256055
6.3100000000000005,0.7204429318416263,0.7204429318416263,0.7204429318416263,0.7204429318416263,0.7204429318416263,0.532427017147827,0.37293520288042986,0.21339636499058176,0.05335225689520656,-0.10705398800141129
6.32,0.8932128885739077,0.8932128885739077,0.8932128885739077,0.8932128885739077,0.8932128885739077,0.7143340605012684,0.49996817061128423,0.285821425220545,0.07148441587636074,-0.14305338228384093
6.33,0.9861947981822392,0.9861947981822392,0.9861947981822392,0.9861947981822392,0.9861947981822392,0.8316861171512325,0.5823486651630297,0.3330852950813228,0.08328900704928155,-0.16692188299065433
6.34,0.9910828636048141,0.9910828636048141,0.9910828636048141,0.9910828636048141,0.9910828636048141,0.8765920824401959,0.6125134139634334,0.34945756380259485,0.08746742017134743,-0.17401507429527027
6.3500000000000005,0.9074404485152969,0.9074404485152969,0.9074404485152969,0.9074404485152969,0.9074404485152969,0.8397273447106365,0.5879823514333742,0.33631022976138586,0.08409520767601494,-0.16854119559236663
6.36,0.7427390807455406,0.7427390807455406,0.7427390807455406,0.7427390807455406,0.7427390807455406,0.7288098063285088,0.5097606716061097,0.29118685917708625,0.07284894739313164,-0.14544496814491614
6.37,0.51169104295636,0.51169104295636,0.51169104295636,0.51169104295636,0.51169104295636,0.5538319546240696,0.3872862116404385,0.22116634106193894,0.05533709730691916,-0.11039428748897587
6.38,0.23493516824433433,0.23493516824433433,0.23493516824433433,0.23493516824433433,0.23493516824433433,0.3288545583970503,0.23005265169743333,0.13143878458675015,0.03288098396735145,-0.06568695401801712
6.390000000000001,-0.06280676535100982,-0.06280676535100982,-0.06280676535100982,-0.06280676535100982,-0.06280676535100982,0.07498898248131097,0.052455195643439444,0.029972304815994544,0.007498880684953234,-0.014981212474822583
6.4,-0.3549383576518463,-0.3549383576518463,-0.3549383576518463,-0.3549383576518463,-0.3549383576518463,-0.18355492587052893,-0.12842952764058096,-0.0733900942219102,-0.018357554169796012,0.03669339101046602
6.41,-0.6153643635592632,-0.6153643635592632,-0.6153643635592632,-0.6153643635592632,-0.6153643635592632,-0.42467942166806216,-0.29712023291002104,-0.16977901031587536,-0.042469999265054854,0.08487508813851632
6.42,-0.8208217035795724,-0.8208217035795724,-0.8208217035795724,-0.8208217035795724,-0.8208217035795724,-0.6293335849402621,-0.4403030984575906,-0.2515982340696051,-0.06293730618054424,0.1257804553302336
6.43,-0.9529574854323601,-0.9529574854323601,-0.9529574854323601,-0.9529574854323601,-0.9529574854323601,-0.7792817104873816,-0.5452116651735419,-0.3115441284818212,-0.07793267481311641,0.1557478096345408
6.44,-0.9999684132582713,-0.9999684132582713,-0.9999684132582713,-0.9999684132582713,-0.9999684132582713,-0.8605343415928861,-0.6020543728877046,-0.34402523202218227,-0.08605854117414917,0.17198568496292915
6.45,-0.9576551408849527,-0.9576551408849527,-0.9576551408849527,-0.9576551408849527,-0.9576551408849527,-0.8681532792025001,-0.6074061566511137,-0.3470840077607282,-0.08682025557014539,0.17351699280339644
6.46,-0.8297973869139591,-0.8297973869139591,-0.8297973869139591,-0.8297973869139591,-0.8297973869139591,-0.7928552528342131,-0.5547248211114806,-0.31698079109192623,-0.07928994691755727,0.15846751617987323
6.47,-0.6278163037150314,-0.6278163037150314,-0.6278163037150314,-0.6278163037150314,-0.6278163037150314,-0.6464416328508152,-0.4522681215110577,-0.2584343198993769,-0.0646479361542142,0.12919664998450175
6.48,-0.36975425989988736,-0.36975425989988736,-0.36975425989988736,-0.36975425989988736,-0.36975425989988736,-0.4428314544773131,-0.3098350826221956,-0.17704564541656506,-0.044285403048527766,0.08851017444053547
6.49,-0.07866316926895663,-0.07866316926895663,-0.07866316926895663,-0.07866316926895663,-0.07866316926895663,-0.19892291231648107,-0.13915592623080802,-0.0795174525680614,-0.019894253747497717,0.03975272279381007
6.5,0.21945466799406363,0.21945466799406363,0.21945466799406363,0.21945466799406363,0.21945466799406363,0.06216263084764197,0.0434760123323848,0.024839530219491677,0.006215690422709008,-0.012413010821819325
6.51,0.4979692733563073,0.4979692733563073,0.4979692733563073,0.4979692733563073,0.4979692733563073,0.3175458411037137,0.22216575115200446,0.12695167162912752,0.031756994637292764,-0.06346785803006554
6.5200000000000005,0.7320017666072678,0.7320017666072678,0.7320017666072678,0.7320017666072678,0.7320017666072678,0.5443828874677338,0.38087931071283954,0.21764591252729784,0.054443002277648506,-0.10881201681155939
6.53,0.9006467221323077,0.9006467221323077,0.9006467221323077,0.9006467221323077,0.9006467221323077,0.72262791807987,0.5055797323069406,0.2888960880134472,0.07226621040136168,-0.14442398489172456
6.54,0.9888395883214693,0.9888395883214693,0.9888395883214693,0.9888395883214693,0.9888395883214693,0.836652796899298,0.5853613007718368,0.3344878446153817,0.08367041995885369,-0.16722026522482333
6.55,0.9887023590985824,0.9887023590985824,0.9887023590985824,0.9887023590985824,0.9887023590985824,0.8762664672444866,0.6130752799955544,0.3503221147350002,0.08763125162952294,-0.17513375859960298
6.5600000000000005,0.9002472927414118,0.9002472927414118,0.9002472927414118,0.9002472927414118,0.9002472927414118,0.8369049857533948,0.5855361752351973,0.33458717620758716,0.08369545825172664,-0.16726916816617476
6.57,0.7313758168862355,0.7313758168862355,0.7313758168862355,0.7313758168862355,0.7313758168862355,0.7230384272633721,0.505869355964328,0.2890626166677514,0.07230759106878212,-0.1445085515373437
6.58,0.4971727175295446,0.4971727175295446,0.4971727175295446,0.4971727175295446,0.4971727175295446,0.5449261442368295,0.38125663043792385,0.21785834796692535,0.054496045651998594,-0.10891412961661869
6.59,0.21855866002119317,0.21855866002119317,0.21855866002119317,0.21855866002119317,0.21855866002119317,0.31798892881441876,0.2224800924116757,0.1271295641893197,0.031800727299894374,-0.06355552212974033
6.6000000000000005,-0.07957859166431186,-0.07957859166431186,-0.07957859166431186,-0.07957859166431186,-0.07957859166431186,0.06236384793758631,0.043632430957448384,0.024931944185893114,0.006236531848442654,-0.012463603226869058
6.61,-0.3706073247614263,-0.3706073247614263,-0.3706073247614263,-0.3706073247614263,-0.3706073247614263,-0.198977101304472,-0.13921255713407338,-0.07954840191643649,-0.019898750774695443,0.03976771728792275
6.62,-0.6285308092993205,-0.6285308092993205,-0.6285308092993205,-0.6285308092993205,-0.6285308092993205,-0.4427604136231397,-0.3097743817323457,-0.17701102210420913,-0.04427858677976501,0.08849209150155336
6.63,-0.830309508565173,-0.830309508565173,-0.830309508565173,-0.830309508565173,-0.830309508565173,-0.6472174721334646,-0.4528182952668069,-0.25874923460567756,-0.06472557963719955,0.1293550957001572
6.640000000000001,-0.9579191323011934,-0.9579191323011934,-0.9579191323011934,-0.9579191323011934,-0.9579191323011934,-0.7952674741863892,-0.5564030688333289,-0.3179396470428896,-0.07953138504682851,0.15894615008873567
6.65,-0.9999606928725588,-0.9999606928725588,-0.9999606928725588,-0.9999606928725588,-0.9999606928725588,-0.8697246286414453,-0.6085050923512424,-0.34771144375932866,-0.08697720138566413,0.17383003133329286
